shipping_id,order_id,shipping_date,return_date,shipping providers,delivery_status
17915,13466,2023-05-03,2023-05-17,dhl,Returned 
17916,19408,2023-04-28,2023-05-06,dhl,Returned 
17917,8582,2023-04-28,2023-05-06,dhl,Returned 
17918,7293,2023-03-24,2023-04-05,dhl,Returned 
17919,9904,2023-03-23,2023-03-31,dhl,Returned 
17920,11594,2023-03-12,2023-03-19,dhl,Returned 
17921,3855,2023-03-05,2023-03-14,dhl,Returned 
17922,11080,2023-02-18,2023-02-27,dhl,Returned 
17923,11812,2023-02-14,2023-02-22,dhl,Returned 
17924,13299,2023-01-02,2023-01-12,dhl,Returned 
17925,13733,2022-12-22,2022-12-29,dhl,Returned 
17926,2630,2022-12-16,2022-12-30,dhl,Returned 
17927,10728,2022-12-05,2022-12-13,dhl,Returned 
17928,15802,2022-11-02,2022-11-12,dhl,Returned 
17929,3984,2022-10-28,2022-11-11,dhl,Returned 
17930,6162,2022-10-04,2022-10-18,dhl,Returned 
17931,20213,2022-09-29,2022-10-06,dhl,Returned 
17932,13248,2022-09-11,2022-09-25,dhl,Returned 
17933,415,2022-09-08,2022-09-19,dhl,Returned 
17934,13902,2022-09-04,2022-09-13,dhl,Returned 
17935,17929,2022-08-29,2022-09-11,dhl,Returned 
17936,1218,2022-08-14,2022-08-23,dhl,Returned 
17937,17323,2022-08-01,2022-08-14,dhl,Returned 
17938,20612,2022-07-18,2022-07-28,dhl,Returned 
17939,582,2022-07-13,2022-07-20,dhl,Returned 
17940,12148,2022-07-11,2022-07-23,dhl,Returned 
17941,2606,2022-07-01,2022-07-14,dhl,Returned 
17942,16467,2022-06-28,2022-07-05,dhl,Returned 
17943,16099,2022-06-25,2022-07-04,dhl,Returned 
17944,17164,2022-06-22,2022-06-29,dhl,Returned 
17945,5192,2022-06-17,2022-06-27,dhl,Returned 
17946,11373,2022-06-02,2022-06-12,dhl,Returned 
17947,897,2022-05-21,2022-05-28,dhl,Returned 
17948,5788,2022-05-04,2022-05-14,dhl,Returned 
17949,20583,2022-05-05,2022-05-15,dhl,Returned 
17950,12066,2022-04-06,2022-04-13,dhl,Returned 
17951,2375,2022-04-05,2022-04-13,dhl,Returned 
17952,7577,2022-02-24,2022-03-07,dhl,Returned 
17953,4100,2022-02-03,2022-02-10,dhl,Returned 
17954,1148,2022-02-01,2022-02-10,dhl,Returned 
17955,5215,2021-12-02,2021-12-12,dhl,Returned 
17956,11276,2021-11-19,2021-12-02,dhl,Returned 
17957,7877,2021-11-12,2021-11-21,dhl,Returned 
17958,152,2021-10-21,2021-10-29,dhl,Returned 
17959,9240,2021-10-23,2021-11-01,dhl,Returned 
17960,19103,2021-10-18,2021-11-01,dhl,Returned 
17961,11674,2021-10-14,2021-10-21,dhl,Returned 
17962,19714,2021-09-09,2021-09-17,dhl,Returned 
17963,5309,2021-08-20,2021-09-03,dhl,Returned 
17964,4557,2021-08-01,2021-08-08,dhl,Returned 
17965,16219,2021-07-27,2021-08-05,dhl,Returned 
17966,5029,2021-07-27,2021-08-10,dhl,Returned 
17967,15330,2021-07-19,2021-07-26,dhl,Returned 
17968,19328,2021-07-11,2021-07-18,dhl,Returned 
17969,18481,2021-06-14,2021-06-28,dhl,Returned 
17970,17616,2021-06-10,2021-06-22,dhl,Returned 
17971,19592,2021-06-06,2021-06-15,dhl,Returned 
17972,17620,2021-04-24,2021-05-07,dhl,Returned 
17973,15076,2021-03-09,2021-03-20,dhl,Returned 
17974,13107,2021-02-20,2021-03-02,dhl,Returned 
17975,9189,2021-02-17,2021-02-25,dhl,Returned 
17976,19795,2021-02-04,2021-02-14,dhl,Returned 
17977,9850,2021-01-23,2021-02-03,dhl,Returned 
17978,5356,2020-11-23,2020-12-02,dhl,Returned 
17979,15515,2020-11-08,2020-11-21,dhl,Returned 
17980,14483,2020-10-31,2020-11-13,dhl,Returned 
17981,1814,2020-09-22,2020-10-05,dhl,Returned 
17982,4408,2020-08-26,2020-09-03,dhl,Returned 
17983,6636,2020-08-22,2020-09-05,dhl,Returned 
17984,5802,2020-08-11,2020-08-19,dhl,Returned 
17985,1776,2020-06-22,2020-07-06,dhl,Returned 
17986,161,2020-06-09,2020-06-16,dhl,Returned 
17987,7060,2020-05-18,2020-05-30,dhl,Returned 
17988,5489,2020-04-15,2020-04-23,dhl,Returned 
17989,6613,2020-04-18,2020-04-27,dhl,Returned 
17990,3432,2020-03-23,2020-04-05,dhl,Returned 
17991,7403,2020-03-04,2020-03-15,dhl,Returned 
17992,17783,2020-03-05,2020-03-19,dhl,Returned 
17993,9646,2020-02-17,2020-02-25,dhl,Returned 
17994,3972,2020-01-27,2020-02-10,dhl,Returned 
17995,9022,2020-01-22,2020-02-02,dhl,Returned 
17996,564,2024-02-12,2024-02-23,dhl,Returned 
17997,3404,2023-11-29,2023-12-13,dhl,Returned 
17998,9055,2023-10-29,2023-11-08,dhl,Returned 
17999,5744,2023-10-06,2023-10-14,dhl,Returned 
18000,19530,2023-09-18,2023-10-02,dhl,Returned 
18001,13622,2023-08-23,2023-08-30,dhl,Returned 
18002,17309,2023-08-20,2023-08-30,dhl,Returned 
18003,19993,2023-07-29,2023-08-05,dhl,Returned 
18004,4411,2023-07-21,2023-08-04,dhl,Returned 
18005,18002,2023-07-11,2023-07-18,dhl,Returned 
18006,2933,2023-07-04,2023-07-12,dhl,Returned 
18007,13391,2023-06-17,2023-07-01,dhl,Returned 
18008,20784,2023-06-20,2023-06-28,dhl,Returned 
18009,4208,2023-05-29,2023-06-09,dhl,Returned 
18010,17031,2023-06-02,2023-06-10,dhl,Returned 
18011,2098,2023-04-13,2023-04-24,dhl,Returned 
18012,18740,2023-03-15,2023-03-25,dhl,Returned 
18013,20932,2023-03-10,2023-03-19,dhl,Returned 
18014,15307,2023-02-18,2023-03-02,dhl,Returned 
18015,7309,2023-02-05,2023-02-17,dhl,Returned 
18016,3371,2023-01-06,2023-01-14,dhl,Returned 
18017,13567,2022-11-28,2022-12-05,dhl,Returned 
18018,7661,2022-11-09,2022-11-23,dhl,Returned 
18019,1390,2022-10-19,2022-10-27,dhl,Returned 
18020,15496,2022-09-21,2022-10-02,dhl,Returned 
18021,2913,2022-09-18,2022-09-26,dhl,Returned 
18022,13852,2022-09-19,2022-10-03,dhl,Returned 
18023,14386,2022-09-08,2022-09-16,dhl,Returned 
18024,20384,2022-09-01,2022-09-08,dhl,Returned 
18025,15262,2022-08-30,2022-09-12,dhl,Returned 
18026,12109,2022-08-18,2022-08-30,dhl,Returned 
18027,18200,2022-08-11,2022-08-24,dhl,Returned 
18028,14923,2022-08-06,2022-08-20,dhl,Returned 
18029,20039,2022-07-31,2022-08-08,dhl,Returned 
18030,11265,2022-07-17,2022-07-28,dhl,Returned 
18031,15386,2022-07-02,2022-07-12,dhl,Returned 
18032,18246,2022-05-24,2022-06-01,dhl,Returned 
18033,8339,2022-05-11,2022-05-23,dhl,Returned 
18034,13242,2022-04-29,2022-05-11,dhl,Returned 
18035,15382,2022-04-24,2022-05-03,dhl,Returned 
18036,5380,2022-04-21,2022-04-30,dhl,Returned 
18037,17340,2021-11-01,2021-11-13,dhl,Returned 
18038,16852,2021-10-22,2021-11-01,dhl,Returned 
18039,11001,2021-09-18,2021-09-29,dhl,Returned 
18040,11685,2021-09-16,2021-09-30,dhl,Returned 
18041,15444,2021-08-27,2021-09-03,dhl,Returned 
18042,19436,2021-08-04,2021-08-13,dhl,Returned 
18043,2639,2021-07-29,2021-08-12,dhl,Returned 
18044,19216,2021-07-28,2021-08-07,dhl,Returned 
18045,1363,2021-07-18,2021-07-26,dhl,Returned 
18046,3034,2021-06-24,2021-07-07,dhl,Returned 
18047,16697,2021-06-24,2021-07-02,dhl,Returned 
18048,7103,2021-06-11,2021-06-25,dhl,Returned 
18049,19540,2021-06-05,2021-06-16,dhl,Returned 
18050,17113,2021-05-03,2021-05-14,dhl,Returned 
18051,9482,2021-04-22,2021-05-05,dhl,Returned 
18052,1149,2021-04-04,2021-04-12,dhl,Returned 
18053,20406,2021-03-14,2021-03-22,dhl,Returned 
18054,5876,2021-03-07,2021-03-17,dhl,Returned 
18055,8793,2021-02-04,2021-02-11,dhl,Returned 
18056,18037,2021-01-08,2021-01-15,dhl,Returned 
18057,2051,2020-12-28,2021-01-10,dhl,Returned 
18058,8290,2020-12-04,2020-12-14,dhl,Returned 
18059,1456,2020-11-24,2020-12-06,dhl,Returned 
18060,5696,2020-10-19,2020-10-30,dhl,Returned 
18061,12644,2020-10-17,2020-10-25,dhl,Returned 
18062,9244,2020-10-20,2020-10-27,dhl,Returned 
18063,4421,2020-09-17,2020-09-26,dhl,Returned 
18064,915,2020-09-11,2020-09-18,dhl,Returned 
18065,3063,2020-09-06,2020-09-19,dhl,Returned 
18066,1222,2020-08-03,2020-08-12,dhl,Returned 
18067,8669,2020-06-18,2020-07-02,dhl,Returned 
18068,16210,2020-04-24,2020-05-04,dhl,Returned 
18069,4551,2020-03-20,2020-04-01,dhl,Returned 
18070,6894,2020-03-02,2020-03-15,dhl,Returned 
18071,4403,2020-02-28,2020-03-09,dhl,Returned 
18072,3862,2020-02-28,2020-03-13,dhl,Returned 
18073,14691,2020-02-25,2020-03-10,dhl,Returned 
18074,21428,2024-01-23,2024-02-04,dhl,Returned 
18075,21211,2024-01-18,2024-01-30,dhl,Returned 
18076,3412,2023-12-01,2023-12-09,dhl,Returned 
18077,6650,2023-11-29,2023-12-06,dhl,Returned 
18078,17761,2023-10-23,2023-11-02,dhl,Returned 
18079,15793,2023-10-01,2023-10-11,dhl,Returned 
18080,11261,2023-09-23,2023-10-05,dhl,Returned 
18081,20124,2023-09-10,2023-09-19,dhl,Returned 
18082,19030,2023-09-04,2023-09-13,dhl,Returned 
18083,20225,2023-08-10,2023-08-19,dhl,Returned 
18084,13470,2023-07-11,2023-07-22,dhl,Returned 
18085,6803,2023-07-11,2023-07-24,dhl,Returned 
18086,5779,2023-07-02,2023-07-14,dhl,Returned 
18087,19280,2023-06-25,2023-07-03,dhl,Returned 
18088,18214,2023-06-19,2023-06-26,dhl,Returned 
18089,17774,2023-06-12,2023-06-20,dhl,Returned 
18090,10489,2023-06-01,2023-06-09,dhl,Returned 
18091,15033,2023-06-01,2023-06-11,dhl,Returned 
18092,19466,2023-05-18,2023-05-29,dhl,Returned 
18093,9966,2023-05-04,2023-05-11,dhl,Returned 
18094,20648,2023-04-26,2023-05-03,dhl,Returned 
18095,3558,2023-04-18,2023-04-27,dhl,Returned 
18096,17377,2023-04-07,2023-04-20,dhl,Returned 
18097,20419,2023-04-05,2023-04-12,dhl,Returned 
18098,20274,2023-03-27,2023-04-07,dhl,Returned 
18099,4653,2023-03-08,2023-03-18,dhl,Returned 
18100,18721,2023-01-28,2023-02-11,dhl,Returned 
18101,4086,2022-12-30,2023-01-13,dhl,Returned 
18102,7621,2022-12-21,2022-12-29,dhl,Returned 
18103,6774,2022-11-27,2022-12-10,dhl,Returned 
18104,16601,2022-09-17,2022-09-30,dhl,Returned 
18105,15222,2022-08-19,2022-09-02,dhl,Returned 
18106,12475,2022-08-06,2022-08-13,dhl,Returned 
18107,16804,2022-07-10,2022-07-20,dhl,Returned 
18108,12671,2022-07-02,2022-07-15,dhl,Returned 
18109,17838,2022-06-28,2022-07-12,dhl,Returned 
18110,11297,2022-06-23,2022-07-01,dhl,Returned 
18111,12043,2022-05-31,2022-06-10,dhl,Returned 
18112,17052,2022-05-09,2022-05-19,dhl,Returned 
18113,16659,2022-05-04,2022-05-14,dhl,Returned 
18114,6109,2022-04-25,2022-05-09,dhl,Returned 
18115,18266,2022-04-19,2022-04-26,dhl,Returned 
18116,18333,2022-04-01,2022-04-13,dhl,Returned 
18117,20684,2022-03-30,2022-04-10,dhl,Returned 
18118,2935,2022-03-24,2022-04-05,dhl,Returned 
18119,20296,2022-03-19,2022-03-31,dhl,Returned 
18120,14172,2022-03-13,2022-03-27,dhl,Returned 
18121,4310,2022-01-29,2022-02-07,dhl,Returned 
18122,17571,2022-01-30,2022-02-08,dhl,Returned 
18123,19839,2021-12-24,2022-01-03,dhl,Returned 
18124,6927,2021-12-03,2021-12-11,dhl,Returned 
18125,9212,2021-11-28,2021-12-05,dhl,Returned 
18126,6483,2021-10-25,2021-11-08,dhl,Returned 
18127,5553,2021-10-11,2021-10-21,dhl,Returned 
18128,3866,2021-09-29,2021-10-06,dhl,Returned 
18129,10303,2021-09-30,2021-10-08,dhl,Returned 
18130,9123,2021-08-27,2021-09-06,dhl,Returned 
18131,1382,2021-08-27,2021-09-08,dhl,Returned 
18132,13381,2021-07-25,2021-08-02,dhl,Returned 
18133,7283,2021-07-26,2021-08-05,dhl,Returned 
18134,663,2021-07-12,2021-07-19,dhl,Returned 
18135,13323,2021-06-27,2021-07-04,dhl,Returned 
18136,11811,2021-06-19,2021-06-28,dhl,Returned 
18137,4167,2021-06-19,2021-06-27,dhl,Returned 
18138,14794,2021-06-03,2021-06-13,dhl,Returned 
18139,14117,2021-06-02,2021-06-13,dhl,Returned 
18140,18100,2021-05-26,2021-06-02,dhl,Returned 
18141,186,2021-05-20,2021-06-02,dhl,Returned 
18142,17423,2021-05-16,2021-05-25,dhl,Returned 
18143,17855,2021-05-10,2021-05-22,dhl,Returned 
18144,19614,2021-04-22,2021-05-01,dhl,Returned 
18145,3018,2021-04-12,2021-04-23,dhl,Returned 
18146,11863,2021-04-07,2021-04-19,dhl,Returned 
18147,9679,2021-02-17,2021-02-25,dhl,Returned 
18148,11372,2021-01-25,2021-02-01,dhl,Returned 
18149,3884,2021-01-08,2021-01-16,dhl,Returned 
18150,8862,2020-12-30,2021-01-10,dhl,Returned 
18151,1520,2020-12-28,2021-01-08,dhl,Returned 
18152,1282,2020-12-14,2020-12-21,dhl,Returned 
18153,6384,2020-12-12,2020-12-24,dhl,Returned 
18154,3853,2020-11-23,2020-11-30,dhl,Returned 
18155,5658,2020-11-14,2020-11-28,dhl,Returned 
18156,5862,2020-11-02,2020-11-11,dhl,Returned 
18157,3461,2020-10-02,2020-10-12,dhl,Returned 
18158,8533,2020-09-10,2020-09-21,dhl,Returned 
18159,5197,2020-07-01,2020-07-08,dhl,Returned 
18160,1103,2020-06-21,2020-06-28,dhl,Returned 
18161,6475,2020-05-15,2020-05-27,dhl,Returned 
18162,18177,2020-05-03,2020-05-11,dhl,Returned 
18163,6860,2020-04-22,2020-05-01,dhl,Returned 
18164,17919,2020-01-10,2020-01-24,dhl,Returned 
18165,21044,2024-07-28,2024-08-11,dhl,Returned 
18166,21283,2024-06-20,2024-07-02,dhl,Returned 
18167,10972,2024-02-08,2024-02-21,dhl,Returned 
18168,21035,2024-02-03,2024-02-13,dhl,Returned 
18169,9203,2024-01-15,2024-01-26,dhl,Returned 
18170,12536,2024-01-08,2024-01-19,dhl,Returned 
18171,360,2024-01-06,2024-01-13,dhl,Returned 
18172,1025,2023-12-06,2023-12-14,dhl,Returned 
18173,5154,2023-10-19,2023-10-29,dhl,Returned 
18174,2227,2023-10-17,2023-10-25,dhl,Returned 
18175,15733,2023-09-23,2023-10-02,dhl,Returned 
18176,20253,2023-09-17,2023-09-24,dhl,Returned 
18177,14033,2023-09-02,2023-09-13,dhl,Returned 
18178,12308,2023-08-24,2023-09-04,dhl,Returned 
18179,10949,2023-07-17,2023-07-31,dhl,Returned 
18180,20271,2023-07-10,2023-07-18,dhl,Returned 
18181,18683,2023-06-30,2023-07-14,dhl,Returned 
18182,1694,2023-06-04,2023-06-14,dhl,Returned 
18183,20066,2023-06-02,2023-06-13,dhl,Returned 
18184,8266,2023-05-29,2023-06-12,dhl,Returned 
18185,13320,2023-03-26,2023-04-04,dhl,Returned 
18186,14452,2023-03-21,2023-03-29,dhl,Returned 
18187,6363,2023-03-17,2023-03-24,dhl,Returned 
18188,8042,2023-03-12,2023-03-26,dhl,Returned 
18189,2237,2023-03-06,2023-03-14,dhl,Returned 
18190,12257,2023-03-04,2023-03-14,dhl,Returned 
18191,13461,2023-02-16,2023-02-23,dhl,Returned 
18192,6960,2023-01-31,2023-02-07,dhl,Returned 
18193,6033,2023-01-22,2023-02-04,dhl,Returned 
18194,4294,2023-01-14,2023-01-28,dhl,Returned 
18195,19737,2022-12-28,2023-01-10,dhl,Returned 
18196,1316,2022-12-27,2023-01-05,dhl,Returned 
18197,563,2022-12-22,2023-01-03,dhl,Returned 
18198,16748,2022-12-02,2022-12-10,dhl,Returned 
18199,1290,2022-11-18,2022-11-27,dhl,Returned 
18200,2610,2022-10-02,2022-10-14,dhl,Returned 
18201,11545,2022-09-21,2022-09-29,dhl,Returned 
18202,6631,2022-09-13,2022-09-20,dhl,Returned 
18203,13786,2022-09-02,2022-09-15,dhl,Returned 
18204,733,2022-08-27,2022-09-09,dhl,Returned 
18205,19960,2022-08-23,2022-09-03,dhl,Returned 
18206,6839,2022-08-08,2022-08-19,dhl,Returned 
18207,19750,2022-07-24,2022-08-03,dhl,Returned 
18208,10573,2022-07-12,2022-07-23,dhl,Returned 
18209,8723,2022-07-05,2022-07-16,dhl,Returned 
18210,13187,2022-06-13,2022-06-26,dhl,Returned 
18211,2948,2022-06-07,2022-06-14,dhl,Returned 
18212,17372,2022-06-06,2022-06-13,dhl,Returned 
18213,10907,2022-05-30,2022-06-13,dhl,Returned 
18214,11346,2022-05-08,2022-05-18,dhl,Returned 
18215,12889,2022-04-24,2022-05-08,dhl,Returned 
18216,7852,2022-04-15,2022-04-29,dhl,Returned 
18217,12759,2022-03-28,2022-04-05,dhl,Returned 
18218,20053,2022-03-24,2022-04-02,dhl,Returned 
18219,13349,2022-03-02,2022-03-15,dhl,Returned 
18220,16214,2022-02-08,2022-02-17,dhl,Returned 
18221,1170,2022-01-25,2022-02-03,dhl,Returned 
18222,1714,2021-12-04,2021-12-13,dhl,Returned 
18223,3694,2021-08-26,2021-09-07,dhl,Returned 
18224,18956,2021-08-08,2021-08-16,dhl,Returned 
18225,3377,2021-07-28,2021-08-07,dhl,Returned 
18226,11429,2021-07-22,2021-08-04,dhl,Returned 
18227,17984,2021-07-11,2021-07-18,dhl,Returned 
18228,4201,2021-06-13,2021-06-20,dhl,Returned 
18229,3226,2021-06-11,2021-06-24,dhl,Returned 
18230,6388,2021-05-16,2021-05-29,dhl,Returned 
18231,18622,2021-04-04,2021-04-13,dhl,Returned 
18232,4662,2021-03-22,2021-04-04,dhl,Returned 
18233,18994,2021-03-17,2021-03-24,dhl,Returned 
18234,3901,2021-03-11,2021-03-20,dhl,Returned 
18235,13735,2021-03-07,2021-03-15,dhl,Returned 
18236,11176,2021-03-03,2021-03-14,dhl,Returned 
18237,9760,2021-01-31,2021-02-09,dhl,Returned 
18238,5758,2021-01-05,2021-01-14,dhl,Returned 
18239,13501,2020-12-20,2020-12-29,dhl,Returned 
18240,2510,2020-12-12,2020-12-21,dhl,Returned 
18241,1433,2020-12-06,2020-12-19,dhl,Returned 
18242,7419,2020-11-07,2020-11-20,dhl,Returned 
18243,16576,2020-10-04,2020-10-14,dhl,Returned 
18244,1784,2020-09-18,2020-09-28,dhl,Returned 
18245,142,2020-09-21,2020-10-03,dhl,Returned 
18246,4443,2020-08-09,2020-08-18,dhl,Returned 
18247,7410,2020-07-20,2020-07-27,dhl,Returned 
18248,9565,2020-07-08,2020-07-21,dhl,Returned 
18249,3494,2020-06-11,2020-06-24,dhl,Returned 
18250,8575,2020-05-20,2020-05-29,dhl,Returned 
18251,6901,2020-05-07,2020-05-15,dhl,Returned 
18252,5488,2020-04-02,2020-04-09,dhl,Returned 
18253,3358,2020-02-04,2020-02-14,dhl,Returned 
18254,10098,2020-01-29,2020-02-12,dhl,Returned 
18255,16602,2020-01-27,2020-02-04,dhl,Returned 
18256,11714,2020-01-07,2020-01-18,dhl,Returned 
18257,21425,2024-06-21,2024-07-03,dhl,Returned 
18258,5320,2023-12-26,2024-01-03,dhl,Returned 
18259,7298,2023-12-10,2023-12-19,dhl,Returned 
18260,2082,2023-12-06,2023-12-13,dhl,Returned 
18261,8614,2023-11-14,2023-11-24,dhl,Returned 
18262,9766,2023-10-31,2023-11-09,dhl,Returned 
18263,5545,2023-10-15,2023-10-24,dhl,Returned 
18264,2529,2023-10-10,2023-10-24,dhl,Returned 
18265,15570,2023-09-16,2023-09-26,dhl,Returned 
18266,17662,2023-08-28,2023-09-09,dhl,Returned 
18267,14066,2023-08-08,2023-08-17,dhl,Returned 
18268,2986,2023-07-27,2023-08-05,dhl,Returned 
18269,2611,2023-07-23,2023-08-06,dhl,Returned 
18270,12853,2023-07-07,2023-07-16,dhl,Returned 
18271,17769,2023-06-08,2023-06-20,dhl,Returned 
18272,19388,2023-06-07,2023-06-15,dhl,Returned 
18273,17299,2023-04-17,2023-05-01,dhl,Returned 
18274,17690,2023-04-14,2023-04-28,dhl,Returned 
18275,20282,2023-03-14,2023-03-26,dhl,Returned 
18276,12386,2023-02-12,2023-02-23,dhl,Returned 
18277,214,2023-02-10,2023-02-20,dhl,Returned 
18278,10369,2022-09-17,2022-09-28,dhl,Returned 
18279,3478,2022-09-11,2022-09-24,dhl,Returned 
18280,6756,2022-08-27,2022-09-05,dhl,Returned 
18281,14412,2022-08-22,2022-09-01,dhl,Returned 
18282,14980,2022-08-14,2022-08-24,dhl,Returned 
18283,17611,2022-07-26,2022-08-06,dhl,Returned 
